Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/17/2019,ACUR,LL,,SIL,N428584,IL,400 E. Lower Wacker
04/17/2019,ACUR,LL,,MAR,R888959,IL,400 E. Lower Wacker
04/17/2019,BMW,4D,,SIL,BH92826,IL,10300 S. Doty
04/17/2019,BUIC,4D,,RED,BE87388,IL,10300 S. Doty
04/17/2019,BUIC,4D,REG,GRY,N851977,IL,400 E. Lower Wacker
04/17/2019,BUIC,4T,,WHI,BA33841,IL,701 N. Sacramento
04/17/2019,BUIC,4T,,SIL,BB90081,IL,701 N. Sacramento
04/17/2019,CHEV,2D,CAM,WHI,AM24943,IL,701 N. Sacramento
04/17/2019,CHEV,2D,,SIL,AF38159,IL,10300 S. Doty
04/17/2019,CHEV,4D,,SIL,BYNL923,B1,400 E. Lower Wacker
04/17/2019,CHEV,4D,,SIL,BE90430,IL,701 N. Sacramento
04/17/2019,CHEV,4D,,RED,AK50882,IL,400 E. Lower Wacker
04/17/2019,CHEV,4D,,BLK,BB45413,IL,701 N. Sacramento
04/17/2019,CHEV,4T,,SIL,261011,IL,701 N. Sacramento
04/17/2019,CHEV,LL,,BLU,Q623732,IL,701 N. Sacramento
04/17/2019,CHEV,LL,,BLK,AG44997,IL,701 N. Sacramento
04/17/2019,CHEV,PK,,WHI,2097695B,IL,701 N. Sacramento
04/17/2019,CHRY,4D,,MAR,AT60805,IL,701 N. Sacramento
04/17/2019,DODG,4D,,BLK,BA91994,IL,701 N. Sacramento
04/17/2019,DODG,4D,,WHI,BF90724,IL,701 N. Sacramento
04/17/2019,DODG,4D,,BLK,BB89368,IL,701 N. Sacramento
04/17/2019,DODG,4D,,GRY,SOP746,IN,400 E. Lower Wacker
04/17/2019,DODG,LL,,RED,BC46051,IL,701 N. Sacramento
04/17/2019,DODG,VN,,WHI,2364873B,IL,400 E. Lower Wacker
04/17/2019,DODG,VN,,GRN,,IL,10300 S. Doty
04/17/2019,FORD,4D,,RED,V954409,IL,400 E. Lower Wacker
04/17/2019,FORD,4D,,GRY,864917,IL,10300 S. Doty
04/17/2019,FORD,4D,,BLK,AK35556,IL,400 E. Lower Wacker
04/17/2019,FORD,4D,,SIL,Q621374,IL,701 N. Sacramento
